team,G,PO,A,TC,E,CI,PB,SBA,CSB,IDP,TP,SBAPct,PO_mean,A_mean,TC_mean,E_mean,CI_mean,PB_mean,SBA_mean,CSB_mean,IDP_mean,TP_mean,SBAPct_mean,fld_pct
North Ala.,8,197,52,255,6,0,0,15,2,23,0,4.8,2.32,0.61,3.0,0.07,0.0,0.0,0.18,0.02,0.27,0.0,0.06,0.98
North Carolina,15,395,108,515,12,0,2,1,1,16,0,1.0,2.53,0.69,3.3,0.08,0.0,0.01,0.01,0.01,0.1,0.0,0.01,0.98
North Dakota St.,4,102,37,143,4,0,1,15,4,8,0,2.49,2.83,1.03,3.97,0.11,0.0,0.03,0.42,0.11,0.22,0.0,0.07,0.97
North Florida,51,1264,388,1697,45,1,12,46,10,114,0,26.17,2.23,0.68,2.99,0.08,0.0,0.02,0.08,0.02,0.2,0.0,0.05,0.97
Northeastern,6,141,47,196,8,0,0,5,3,16,0,2.83,2.52,0.84,3.5,0.14,0.0,0.0,0.09,0.05,0.29,0.0,0.05,0.96
Northern Colo.,10,213,59,281,9,0,4,32,3,26,0,7.38,1.87,0.52,2.46,0.08,0.0,0.04,0.28,0.03,0.23,0.0,0.06,0.97
Northern Ky.,9,232,66,309,11,0,1,16,6,16,0,5.5,2.3,0.65,3.06,0.11,0.0,0.01,0.16,0.06,0.16,0.0,0.05,0.96
Northwestern,49,1210,412,1653,31,0,8,39,11,103,0,22.08,2.34,0.8,3.2,0.06,0.0,0.02,0.08,0.02,0.2,0.0,0.04,0.98
Northwestern St.,46,1214,372,1620,34,0,6,52,14,86,0,23.91,2.39,0.73,3.18,0.07,0.0,0.01,0.1,0.03,0.17,0.0,0.05,0.98
Notre Dame,16,401,108,519,10,0,0,19,4,15,0,9.27,2.32,0.62,3.0,0.06,0.0,0.0,0.11,0.02,0.09,0.0,0.05,0.98
Oakland,14,355,99,479,25,0,5,28,7,32,0,11.92,2.23,0.62,3.01,0.16,0.0,0.03,0.18,0.04,0.2,0.0,0.07,0.95
Ohio,13,310,104,428,14,0,3,21,7,24,0,6.17,2.4,0.81,3.32,0.11,0.0,0.02,0.16,0.05,0.19,0.0,0.05,0.97
Ohio St.,24,606,178,808,24,0,1,20,6,46,0,9.58,2.65,0.78,3.53,0.1,0.0,0.0,0.09,0.03,0.2,0.0,0.04,0.97
Oklahoma,22,553,168,743,22,0,0,15,2,49,0,8.17,2.43,0.74,3.26,0.1,0.0,0.0,0.07,0.01,0.21,0.0,0.04,0.97
Oklahoma St.,19,470,169,652,13,0,1,26,5,47,0,14.0,2.04,0.73,2.83,0.06,0.0,0.0,0.11,0.02,0.2,0.0,0.06,0.98
Old Dominion,16,401,130,545,14,0,0,26,3,38,0,13.04,2.2,0.71,2.99,0.08,0.0,0.0,0.14,0.02,0.21,0.0,0.07,0.97
Ole Miss,56,1421,382,1845,42,0,1,56,10,70,0,27.67,2.23,0.6,2.9,0.07,0.0,0.0,0.09,0.02,0.11,0.0,0.04,0.98
Omaha,9,224,78,310,8,0,1,10,4,17,0,4.6,2.43,0.85,3.37,0.09,0.0,0.01,0.11,0.04,0.18,0.0,0.05,0.97
Oral Roberts,5,113,32,146,1,0,1,4,0,8,0,2.0,1.88,0.53,2.43,0.02,0.0,0.02,0.07,0.0,0.13,0.0,0.03,0.99
Oregon,24,627,176,813,10,0,2,9,5,49,0,7.0,2.14,0.6,2.77,0.03,0.0,0.01,0.03,0.02,0.17,0.0,0.02,0.99
Oregon St.,55,1471,415,1906,20,1,5,37,13,103,0,19.0,2.38,0.67,3.08,0.03,0.0,0.01,0.06,0.02,0.17,0.0,0.03,0.99
Pacific,49,1266,377,1682,39,1,7,59,11,81,0,27.83,2.24,0.67,2.98,0.07,0.0,0.01,0.1,0.02,0.14,0.0,0.05,0.98
Penn,12,302,99,408,7,0,3,9,5,10,0,6.17,2.44,0.8,3.29,0.06,0.0,0.02,0.07,0.04,0.08,0.0,0.05,0.98
Penn St.,50,1225,396,1661,40,1,13,66,20,67,0,29.75,2.45,0.79,3.32,0.08,0.0,0.03,0.13,0.04,0.13,0.0,0.06,0.98
Pepperdine,18,458,156,633,19,0,3,26,3,42,0,9.71,2.22,0.76,3.07,0.09,0.0,0.01,0.13,0.01,0.2,0.0,0.05,0.97
Pittsburgh,10,249,98,353,6,0,2,4,3,24,0,1.67,2.39,0.94,3.39,0.06,0.0,0.02,0.04,0.03,0.23,0.0,0.02,0.98
Portland,18,480,171,669,18,0,2,14,9,33,0,11.33,2.22,0.79,3.1,0.08,0.0,0.01,0.06,0.04,0.15,0.0,0.05,0.97
Prairie View,5,109,48,168,11,0,0,13,3,10,0,4.22,2.18,0.96,3.36,0.22,0.0,0.0,0.26,0.06,0.2,0.0,0.08,0.93
Presbyterian,15,367,96,479,16,0,8,34,5,20,0,15.27,1.93,0.51,2.52,0.08,0.0,0.04,0.18,0.03,0.11,0.0,0.08,0.97
Princeton,14,330,130,471,11,0,1,18,5,20,0,11.0,2.37,0.94,3.39,0.08,0.0,0.01,0.13,0.04,0.14,0.0,0.08,0.98
Purdue,52,1348,451,1845,46,0,10,37,13,93,0,21.83,2.16,0.72,2.95,0.07,0.0,0.02,0.06,0.02,0.15,0.0,0.03,0.98
Queens (NC),17,428,147,590,15,0,7,39,8,37,0,9.75,2.45,0.84,3.37,0.09,0.0,0.04,0.22,0.05,0.21,0.0,0.06,0.97
Quinnipiac,16,384,124,518,10,1,3,20,4,25,0,7.92,2.51,0.81,3.39,0.07,0.01,0.02,0.13,0.03,0.16,0.0,0.05,0.98
Radford,11,270,85,363,8,0,4,20,6,21,0,8.0,2.16,0.68,2.9,0.06,0.0,0.03,0.16,0.05,0.17,0.0,0.06,0.98
Rhode Island,9,220,63,292,9,0,0,19,2,14,0,9.0,2.14,0.61,2.83,0.09,0.0,0.0,0.18,0.02,0.14,0.0,0.09,0.97
Rice,29,749,222,991,20,0,7,18,10,63,0,12.0,2.17,0.64,2.87,0.06,0.0,0.02,0.05,0.03,0.18,0.0,0.03,0.98
Richmond,11,285,81,374,8,0,1,6,8,15,0,3.75,2.07,0.59,2.71,0.06,0.0,0.01,0.04,0.06,0.11,0.0,0.03,0.98
Rider,15,387,130,523,6,0,5,23,7,35,0,9.92,2.53,0.85,3.42,0.04,0.0,0.03,0.15,0.05,0.23,0.0,0.06,0.99
Rutgers,28,687,213,926,26,0,1,23,8,46,0,11.83,2.35,0.73,3.17,0.09,0.0,0.0,0.08,0.03,0.16,0.0,0.04,0.97
SFA,8,195,65,276,16,0,1,8,0,12,0,5.0,2.24,0.75,3.17,0.18,0.0,0.01,0.09,0.0,0.14,0.0,0.06,0.94
SIUE,21,519,175,710,16,0,1,28,5,35,0,12.33,2.3,0.77,3.14,0.07,0.0,0.0,0.12,0.02,0.15,0.0,0.05,0.98
Sacramento St.,17,417,108,536,11,1,1,13,2,17,0,5.75,2.36,0.61,3.03,0.06,0.01,0.01,0.07,0.01,0.1,0.0,0.03,0.98
Sacred Heart,14,329,114,460,17,0,4,28,4,31,0,10.63,2.21,0.77,3.09,0.11,0.0,0.03,0.19,0.03,0.21,0.0,0.07,0.96
Saint Joseph's,14,353,94,464,17,0,1,29,7,19,0,9.15,2.54,0.68,3.34,0.12,0.0,0.01,0.21,0.05,0.14,0.0,0.07,0.96
Saint Louis,11,290,102,395,3,0,0,11,3,16,0,8.67,2.57,0.9,3.5,0.03,0.0,0.0,0.1,0.03,0.14,0.0,0.08,0.99
Saint Mary's (CA),54,1392,410,1832,30,1,0,52,10,96,0,28.17,2.31,0.68,3.04,0.05,0.0,0.0,0.09,0.02,0.16,0.0,0.05,0.98
Saint Peter's,6,135,44,187,8,1,0,19,3,2,0,4.43,2.11,0.69,2.92,0.12,0.02,0.0,0.3,0.05,0.03,0.0,0.07,0.96
Sam Houston,20,501,146,660,13,0,1,27,3,24,0,9.5,2.33,0.68,3.07,0.06,0.0,0.0,0.13,0.01,0.11,0.0,0.04,0.98
Samford,19,471,136,620,13,0,2,18,8,30,3,8.33,2.38,0.69,3.13,0.07,0.0,0.01,0.09,0.04,0.15,0.02,0.04,0.98
San Diego,22,572,164,762,26,0,4,23,10,41,0,11.17,2.49,0.71,3.31,0.11,0.0,0.02,0.1,0.04,0.18,0.0,0.05,0.97
San Diego St.,15,396,139,547,12,0,1,15,3,24,0,8.0,2.75,0.97,3.8,0.08,0.0,0.01,0.1,0.02,0.17,0.0,0.06,0.98
San Francisco,22,564,205,791,22,0,1,16,12,49,2,8.67,2.39,0.87,3.35,0.09,0.0,0.0,0.07,0.05,0.21,0.01,0.04,0.97
San Jose St.,18,458,136,610,16,0,1,40,4,34,0,17.67,2.17,0.64,2.89,0.08,0.0,0.0,0.19,0.02,0.16,0.0,0.08,0.97
Santa Clara,16,421,127,558,10,0,1,9,4,26,0,6.0,2.28,0.69,3.02,0.05,0.0,0.01,0.05,0.02,0.14,0.0,0.03,0.98
Seattle U,13,330,97,442,15,0,2,21,5,34,0,8.61,2.5,0.73,3.35,0.11,0.0,0.02,0.16,0.04,0.26,0.0,0.07,0.97
Seton Hall,10,261,76,348,11,0,4,30,4,5,0,10.11,2.46,0.72,3.28,0.1,0.0,0.04,0.28,0.04,0.05,0.0,0.1,0.97
Siena,9,199,47,261,15,0,3,32,3,8,0,7.92,1.86,0.44,2.44,0.14,0.0,0.03,0.3,0.03,0.07,0.0,0.07,0.94
South Alabama,29,728,212,964,24,0,6,22,9,39,0,15.33,2.4,0.7,3.18,0.08,0.0,0.02,0.07,0.03,0.13,0.0,0.05,0.98
South Carolina,55,1403,405,1867,59,1,7,80,15,81,0,32.29,2.42,0.7,3.22,0.1,0.0,0.01,0.14,0.03,0.14,0.0,0.06,0.97
South Dakota St.,5,129,39,172,4,0,1,14,2,8,0,5.0,2.11,0.64,2.82,0.07,0.0,0.02,0.23,0.03,0.13,0.0,0.08,0.98
South Fla.,20,522,167,703,14,0,6,23,5,30,0,11.69,2.44,0.78,3.29,0.07,0.0,0.03,0.11,0.02,0.14,0.0,0.05,0.98
Southeast Mo. St.,11,271,88,365,6,0,2,10,0,30,0,6.0,2.42,0.79,3.26,0.05,0.0,0.02,0.09,0.0,0.27,0.0,0.05,0.98
Southeastern La.,49,1215,421,1684,48,1,5,48,18,94,0,22.92,2.32,0.8,3.22,0.09,0.0,0.01,0.09,0.03,0.18,0.0,0.04,0.97
Southern California,20,525,136,671,10,0,3,9,1,24,0,4.67,2.35,0.61,3.01,0.04,0.0,0.01,0.04,0.0,0.11,0.0,0.02,0.99
Southern Ill.,16,419,132,563,12,0,2,17,9,37,0,6.42,2.38,0.75,3.2,0.07,0.0,0.01,0.1,0.05,0.21,0.0,0.04,0.98
Southern Ind.,51,1258,389,1697,50,0,15,82,25,59,0,32.02,2.07,0.64,2.79,0.08,0.0,0.02,0.13,0.04,0.1,0.0,0.05,0.97
Southern Miss.,52,1336,408,1776,32,0,7,31,17,71,0,19.17,2.5,0.76,3.33,0.06,0.0,0.01,0.06,0.03,0.13,0.0,0.04,0.98
Southern U.,6,140,44,194,10,0,1,23,5,12,0,8.04,2.15,0.68,2.98,0.15,0.0,0.02,0.35,0.08,0.18,0.0,0.12,0.95
Southern-N.O.,1,24,7,34,3,0,0,4,1,0,0,1.67,2.0,0.58,2.83,0.25,0.0,0.0,0.33,0.08,0.0,0.0,0.14,0.91
