game_id,error
6507455,"Page.goto: Target page, context or browser has been closed"
6507456,"Page.goto: Target page, context or browser has been closed"
6507457,"Page.goto: Target page, context or browser has been closed"
6507458,"Page.goto: Target page, context or browser has been closed"
6507459,"Page.goto: Target page, context or browser has been closed"
6507460,"Page.goto: Target page, context or browser has been closed"
6507461,"Page.goto: Target page, context or browser has been closed"
6507462,"Page.goto: Target page, context or browser has been closed"
6507463,"Page.goto: Target page, context or browser has been closed"
6507464,"Page.goto: Target page, context or browser has been closed"
6507465,"Page.goto: Target page, context or browser has been closed"
6507466,"Page.goto: Target page, context or browser has been closed"
6507467,"Page.goto: Target page, context or browser has been closed"
6507478,"Page.goto: Target page, context or browser has been closed"
6507479,"Page.goto: Target page, context or browser has been closed"
6507480,"Page.goto: Target page, context or browser has been closed"
6507481,"Page.goto: Target page, context or browser has been closed"
6507482,"Page.goto: Target page, context or browser has been closed"
6507483,"Page.goto: Target page, context or browser has been closed"
6507484,"Page.goto: Target page, context or browser has been closed"
6507486,"Page.goto: Target page, context or browser has been closed"
6507487,"Page.goto: Target page, context or browser has been closed"
6507488,"Page.goto: Target page, context or browser has been closed"
6507489,"Page.goto: Target page, context or browser has been closed"
6507490,"Page.goto: Target page, context or browser has been closed"
6507491,"Page.goto: Target page, context or browser has been closed"
6507493,"Page.goto: Target page, context or browser has been closed"
6507494,"Page.goto: Target page, context or browser has been closed"
6507495,"Page.goto: Target page, context or browser has been closed"
6507928,"Page.goto: Target page, context or browser has been closed"
6507930,"Page.goto: Target page, context or browser has been closed"
6507931,"Page.goto: Target page, context or browser has been closed"
6507932,"Page.goto: Target page, context or browser has been closed"
6507933,"Page.goto: Target page, context or browser has been closed"
6507934,"Page.goto: Target page, context or browser has been closed"
6507937,"Page.goto: Target page, context or browser has been closed"
6507940,"Page.goto: Target page, context or browser has been closed"
6507943,"Page.goto: Target page, context or browser has been closed"
6507947,"Page.goto: Target page, context or browser has been closed"
6507951,"Page.goto: Target page, context or browser has been closed"
6507954,"Page.goto: Target page, context or browser has been closed"
6507956,"Page.goto: Target page, context or browser has been closed"
6507958,"Page.goto: Target page, context or browser has been closed"
6507961,"Page.goto: Target page, context or browser has been closed"
6507964,"Page.goto: Target page, context or browser has been closed"
6508390,"Page.goto: Target page, context or browser has been closed"
6508394,"Page.goto: Target page, context or browser has been closed"
6508397,"Page.goto: Target page, context or browser has been closed"
6508409,"Page.goto: Target page, context or browser has been closed"
6508410,"Page.goto: Target page, context or browser has been closed"
6508411,"Page.goto: Target page, context or browser has been closed"
6508412,"Page.goto: Target page, context or browser has been closed"
6508414,"Page.goto: Target page, context or browser has been closed"
6508416,"Page.goto: Target page, context or browser has been closed"
6508418,"Page.goto: Target page, context or browser has been closed"
6508420,"Page.goto: Target page, context or browser has been closed"
6508421,"Page.goto: Target page, context or browser has been closed"
6508428,"Page.goto: Target page, context or browser has been closed"
6508430,"Page.goto: Target page, context or browser has been closed"
6508431,"Page.goto: Target page, context or browser has been closed"
6508434,"Page.goto: Target page, context or browser has been closed"
6508436,"Page.goto: Target page, context or browser has been closed"
6508437,"Page.goto: Target page, context or browser has been closed"
6508438,"Page.goto: Target page, context or browser has been closed"
6508439,"Page.goto: Target page, context or browser has been closed"
6508441,"Page.goto: Target page, context or browser has been closed"
6508442,"Page.goto: Target page, context or browser has been closed"
6508445,"Page.goto: Target page, context or browser has been closed"
6508447,"Page.goto: Target page, context or browser has been closed"
6508449,"Page.goto: Target page, context or browser has been closed"
6508451,"Page.goto: Target page, context or browser has been closed"
6508453,"Page.goto: Target page, context or browser has been closed"
6508454,"Page.goto: Target page, context or browser has been closed"
6508456,"Page.goto: Target page, context or browser has been closed"
6508458,"Page.goto: Target page, context or browser has been closed"
6508459,"Page.goto: Target page, context or browser has been closed"
6508461,"Page.goto: Target page, context or browser has been closed"
6508463,"Page.goto: Target page, context or browser has been closed"
6508465,"Page.goto: Target page, context or browser has been closed"
6508467,"Page.goto: Target page, context or browser has been closed"
6508469,"Page.goto: Target page, context or browser has been closed"
6508470,"Page.goto: Target page, context or browser has been closed"
6508471,"Page.goto: Target page, context or browser has been closed"
6508472,"Page.goto: Target page, context or browser has been closed"
6508473,"Page.goto: Target page, context or browser has been closed"
6508474,"Page.goto: Target page, context or browser has been closed"
6508476,"Page.goto: Target page, context or browser has been closed"
6508479,"Page.goto: Target page, context or browser has been closed"
6508480,"Page.goto: Target page, context or browser has been closed"
6508482,"Page.goto: Target page, context or browser has been closed"
6508484,"Page.goto: Target page, context or browser has been closed"
6508485,"Page.goto: Target page, context or browser has been closed"
6508486,"Page.goto: Target page, context or browser has been closed"
6508490,"Page.goto: Target page, context or browser has been closed"
6508493,"Page.goto: Target page, context or browser has been closed"
6508495,"Page.goto: Target page, context or browser has been closed"
6508724,"Page.goto: Target page, context or browser has been closed"
6508725,"Page.goto: Target page, context or browser has been closed"
6508727,"Page.goto: Target page, context or browser has been closed"
6508728,"Page.goto: Target page, context or browser has been closed"
6508732,"Page.goto: Target page, context or browser has been closed"
6508735,"Page.goto: Target page, context or browser has been closed"
6508738,"Page.goto: Target page, context or browser has been closed"
6508739,"Page.goto: Target page, context or browser has been closed"
6508740,"Page.goto: Target page, context or browser has been closed"
6508741,"Page.goto: Target page, context or browser has been closed"
6508742,"Page.goto: Target page, context or browser has been closed"
6508745,"Page.goto: Target page, context or browser has been closed"
6508748,"Page.goto: Target page, context or browser has been closed"
6508750,"Page.goto: Target page, context or browser has been closed"
6508751,"Page.goto: Target page, context or browser has been closed"
6508753,"Page.goto: Target page, context or browser has been closed"
6508758,"Page.goto: Target page, context or browser has been closed"
6508760,"Page.goto: Target page, context or browser has been closed"
6508762,"Page.goto: Target page, context or browser has been closed"
6508765,"Page.goto: Target page, context or browser has been closed"
6508767,"Page.goto: Target page, context or browser has been closed"
6508770,"Page.goto: Target page, context or browser has been closed"
6508771,"Page.goto: Target page, context or browser has been closed"
6508773,"Page.goto: Target page, context or browser has been closed"
6508777,"Page.goto: Target page, context or browser has been closed"
6508779,"Page.goto: Target page, context or browser has been closed"
6508781,"Page.goto: Target page, context or browser has been closed"
6508783,"Page.goto: Target page, context or browser has been closed"
6508787,"Page.goto: Target page, context or browser has been closed"
6508823,"Page.goto: Target page, context or browser has been closed"
6508865,"Page.goto: Target page, context or browser has been closed"
6508866,"Page.goto: Target page, context or browser has been closed"
6508867,"Page.goto: Target page, context or browser has been closed"
6508871,"Page.goto: Target page, context or browser has been closed"
6508874,"Page.goto: Target page, context or browser has been closed"
6508875,"Page.goto: Target page, context or browser has been closed"
6508876,"Page.goto: Target page, context or browser has been closed"
6508880,"Page.goto: Target page, context or browser has been closed"
6508882,"Page.goto: Target page, context or browser has been closed"
6508883,"Page.goto: Target page, context or browser has been closed"
6508885,"Page.goto: Target page, context or browser has been closed"
6508887,"Page.goto: Target page, context or browser has been closed"
6508888,"Page.goto: Target page, context or browser has been closed"
6508891,"Page.goto: Target page, context or browser has been closed"
6508893,"Page.goto: Target page, context or browser has been closed"
6508897,"Page.goto: Target page, context or browser has been closed"
6508898,"Page.goto: Target page, context or browser has been closed"
6508899,"Page.goto: Target page, context or browser has been closed"
6508900,"Page.goto: Target page, context or browser has been closed"
6508901,"Page.goto: Target page, context or browser has been closed"
6508902,"Page.goto: Target page, context or browser has been closed"
6508904,"Page.goto: Target page, context or browser has been closed"
6508906,"Page.goto: Target page, context or browser has been closed"
6508909,"Page.goto: Target page, context or browser has been closed"
6508910,"Page.goto: Target page, context or browser has been closed"
6508913,"Page.goto: Target page, context or browser has been closed"
6508915,"Page.goto: Target page, context or browser has been closed"
6508916,"Page.goto: Target page, context or browser has been closed"
6508919,"Page.goto: Target page, context or browser has been closed"
6508920,"Page.goto: Target page, context or browser has been closed"
6508922,"Page.goto: Target page, context or browser has been closed"
6508925,"Page.goto: Target page, context or browser has been closed"
6508926,"Page.goto: Target page, context or browser has been closed"
6508928,"Page.goto: Target page, context or browser has been closed"
6508929,"Page.goto: Target page, context or browser has been closed"
6508931,"Page.goto: Target page, context or browser has been closed"
6508933,"Page.goto: Target page, context or browser has been closed"
6508940,"Page.goto: Target page, context or browser has been closed"
6508941,"Page.goto: Target page, context or browser has been closed"
6508944,"Page.goto: Target page, context or browser has been closed"
6509042,"Page.goto: Target page, context or browser has been closed"
6509046,"Page.goto: Target page, context or browser has been closed"
6509049,"Page.goto: Target page, context or browser has been closed"
6509138,"Page.goto: Target page, context or browser has been closed"
